epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,98014.3,1.15173,2.93047,0.98281,1.15151,0.50183,0.31805,0.33439,0.22574,0.42687,0.22704,0.22512,0.12887,1.35564,3.39963,1.23695,1.14144,9.51584e-05,9.51584e-05,9.51584e-05
90,99003.8,1.15237,2.9284,0.98313,1.15171,0.49501,0.31768,0.32906,0.22218,0.42219,0.22477,0.22343,0.12866,1.35784,3.43863,1.2373,1.14547,9.36602e-05,9.36602e-05,9.36602e-05
91,99991.1,1.14718,2.9141,0.97545,1.15023,0.52714,0.31854,0.32517,0.21974,0.41711,0.22419,0.21344,0.12448,1.34759,3.41007,1.21584,1.13954,9.2162e-05,9.2162e-05,9.2162e-05
92,100982,1.15015,2.91292,0.97565,1.14946,0.49048,0.31149,0.32505,0.21886,0.42884,0.22079,0.21831,0.1243,1.35616,3.4527,1.23496,1.14534,9.06638e-05,9.06638e-05,9.06638e-05
93,101967,1.14688,2.92143,0.9775,1.14644,0.49262,0.31114,0.32468,0.21974,0.44819,0.21531,0.21751,0.12449,1.36336,3.4498,1.24773,1.14705,8.91656e-05,8.91656e-05,8.91656e-05
94,102952,1.14247,2.90515,0.97358,1.14814,0.52899,0.30913,0.3317,0.22558,0.4312,0.21965,0.22512,0.12752,1.35888,3.41561,1.23413,1.14477,8.76674e-05,8.76674e-05,8.76674e-05
95,103937,1.14181,2.91532,0.97558,1.14671,0.501,0.3119,0.33287,0.22345,0.41999,0.21987,0.22059,0.12727,1.36122,3.4259,1.23481,1.1466,8.61692e-05,8.61692e-05,8.61692e-05
96,104994,1.1491,2.90841,0.97313,1.14631,0.53912,0.30276,0.32344,0.21807,0.41927,0.21873,0.21514,0.1239,1.3591,3.41278,1.2273,1.1473,8.4671e-05,8.4671e-05,8.4671e-05
97,106029,1.1499,2.91179,0.97461,1.14763,0.53276,0.30745,0.33174,0.22524,0.4782,0.21047,0.22458,0.12599,1.34689,3.38715,1.21551,1.13738,8.31728e-05,8.31728e-05,8.31728e-05
98,107087,1.1442,2.9111,0.9699,1.14474,0.51241,0.30362,0.32335,0.21649,0.44241,0.21574,0.21348,0.12164,1.35294,3.41536,1.21896,1.13902,8.16746e-05,8.16746e-05,8.16746e-05
